Date,Items,Type,Total,Wallet,
,,MasterCard **66,,,
16-Jul-20,Star Trek: Bridge Crew,Purchase,$34.08 ,($6.57),$0.00 
,Star Trek : Bridge Crew – The Next Generation,$6.57 Wallet,,,
,,$27.51 MasterCard,,,
14-Jul-20,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$6.57 
,,Wallet,Credit,,
13-Jul-20,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$6.51 
,,Wallet,Credit,,
11-Jul-20,Steam Community Market,90 Market Transactions,$4.86 ,$4.86 ,$6.48 
,,Wallet,Credit,,
9-Jul-20,Steam Community Market,18 Market Transactions,$0.94 ,$0.94 ,$1.62 
,,Wallet,Credit,,
8-Jul-20,Steam Community Market,11 Market Transactions,$0.60 ,$0.60 ,$0.68 
,,Wallet,Credit,,
8-Jul-20,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.08 
,,Wallet,Credit,,
8-Jul-20,GORN,Purchase,$82.20 ,,
,Budget Cuts,MasterCard **66,,,
,Space Pirate Trainer,,,,
,Beat Saber,,,,
,Pavlov,,,,
,Keep Talking and Nobody Explodes,,,,
8-Jul-20,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.05 
,,Wallet,Credit,,
8-Jul-20,Valve Index VR Kit,Purchase,"$1,081.42 ",($0.47),$0.00 
,View Shipment Details,$0.47 Wallet,,,
,,"$1,080.95 Visa",,,
3-Jul-20,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.47 
,,Wallet,Credit,,
28-Jun-20,Steam Community Market,2 Market Transactions,$0.13 ,$0.13 ,$0.43 
,,Wallet,Credit,,
27-Jun-20,Steam Community Market,6 Market Transactions,$0.30 ,$0.30 ,$0.30 
,,Wallet,Credit,,
27-Jun-20,Space Pirates and Zombies 2,Purchase,$36.78 ,($0.40),$0.00 
,Risk of Rain 2,$0.40 Wallet,,,
,The Witcher 3: Wild Hunt - Complete Edition,$36.38 MasterCard,,,
27-Jun-20,Steam Community Market,2 Market Transactions,$0.11 ,$0.11 ,$0.40 
,,Wallet,Credit,,
26-Jun-20,Steam Community Market,7 Market Transactions,$0.29 ,$0.29 ,$0.29 
,,Wallet,Credit,,
25-Jun-20,Titanfall® 2: Ultimate Edition,Purchase,$10.71 ,($1.30),$0.00 
,,$1.30 Wallet,,,
,,$9.41 MasterCard,,,
25-Jun-20,Steam Community Market,Market Transaction,$0.13 ,$0.13 ,$1.30 
,,Wallet,Credit,,
23-Jun-20,Steam Community Market,2 Market Transactions,$0.07 ,$0.07 ,$1.17 
,,Wallet,Credit,,
22-Jun-20,Steam Community Market,15 Market Transactions,$0.68 ,$0.68 ,$1.10 
,,Wallet,Credit,,
21-Jun-20,Steam Community Market,5 Market Transactions,$0.21 ,$0.21 ,$0.42 
,,Wallet,Credit,,
20-Jun-20,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.21 
,,Wallet,Credit,,
14-Jun-20,Steam Community Market,Market Transaction,$0.08 ,$0.08 ,$0.16 
,,Wallet,Credit,,
9-Jun-20,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.08 
,,Wallet,Credit,,
3-Jun-20,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.06 
,,Wallet,Credit,,
30-May-20,Tabletop Simulator,Purchase,$21.64 ,($1.15),$0.00 
,,$1.15 Wallet,,,
,,$20.49 MasterCard,,,
30-May-20,Poly Bridge 2,Purchase,$25.96 ,,
,Blood Bowl 2 - Legendary Edition,MasterCard **66,,,
25-May-20,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.15 
,,Wallet,Credit,,
18-May-20,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.12 
,,Wallet,Credit,,
10-May-20,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.10 
,,Wallet,Credit,,
9-May-20,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$1.07 
,,Wallet,Credit,,
7-May-20,Steam Community Market,3 Market Transactions,$0.07 ,$0.07 ,$1.02 
,,Wallet,Credit,,
6-May-20,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.95 
,,Wallet,Credit,,
4-May-20,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.92 
,,Wallet,Credit,,
3-May-20,Steam Community Market,2 Market Transactions,$0.05 ,$0.05 ,$0.89 
,,Wallet,Credit,,
30-Apr-20,Steam Community Market,3 Market Transactions,$0.09 ,$0.09 ,$0.84 
,,Wallet,Credit,,
29-Apr-20,Steam Community Market,7 Market Transactions,$0.24 ,$0.24 ,$0.75 
,,Wallet,Credit,,
28-Apr-20,Steam Community Market,2 Market Transactions,$0.07 ,$0.07 ,$0.51 
,,Wallet,Credit,,
27-Apr-20,Steam Community Market,2 Market Transactions,$0.44 ,$0.44 ,$0.44 
,,Wallet,Credit,,
26-Apr-20,Project Winter,Purchase,$7.57 ,($1.67),$0.00 
,,$1.67 Wallet,,,
,,$5.90 MasterCard,,,
25-Apr-20,Steam Community Market,6 Market Transactions,$0.21 ,$0.21 ,$1.67 
,,Wallet,Credit,,
24-Apr-20,Steam Community Market,6 Market Transactions,$0.28 ,$0.28 ,$1.46 
,,Wallet,Credit,,
22-Apr-20,Steam Community Market,14 Market Transactions,$0.51 ,$0.51 ,$1.18 
,,Wallet,Credit,,
22-Apr-20,Steam Community Market,17 Market Transactions,$0.67 ,$0.67 ,$0.67 
,,Wallet,Credit,,
20-Apr-20,Total War: WARHAMMER II,Purchase,$22.07 ,($0.05),$0.00 
,,$0.05 Wallet,,,
,,$22.02 MasterCard,,,
20-Apr-20,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.05 
,,Wallet,Credit,,
14-Apr-20,Receiver,Purchase,$1.07 ,,
,,MasterCard **66,,,
30-Mar-20,Mount & Blade II: Bannerlord,Purchase,$43.29 ,,
,,MasterCard **66,,,
12-Mar-20,X-Com Complete Pack,Purchase,$4.05 ,($0.12),$0.00 
,,$0.12 Wallet,,,
,,$3.93 MasterCard,,,
19-Jan-20,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.12 
,,Wallet,Credit,,
10-Jan-20,Steam Community Market,Market Transaction,$0.08 ,$0.08 ,$0.08 
,,Wallet,Credit,,
1-Jan-20,Dishonored: Complete Collection,Purchase,$68.57 ,,
,Deus Ex: Game of the Year Edition,MasterCard **56,,,
,Deus Ex: Invisible War,,,,
,Deus Ex: The Fall,,,,
,Deus Ex: Human Revolution - Director's Cut (ROW),,,,
,Deus Ex: Mankind Divided DLC - Season Pass,,,,
,Deus Ex: Mankind Divided,,,,
,Far Cry 3,,,,
,Far Cry 3 - Blood Dragon,,,,
,Far Cry 4,,,,
,Far Cry Primal Standard Edition (WW),,,,
25-Dec-19,Shovel Knight: Specter of Torment,Gift Purchase,$5.40 ,,
,Picture,MasterCard **56,,,
,Gift sent to LimitlessThunder,,,,
25-Dec-19,Bully: Scholarship Edition,Purchase,$0.26 ,($0.06),$0.00 
,,$0.06 Wallet,,,
,,$0.20 MasterCard,,,
21-Dec-19,Grand Theft Auto III Trilogy,Purchase,$44.80 ,,
,Creeper World 2 Anniversary Edition,MasterCard **56,,,
,Creeper World Anniversary Edition,,,,
,Oblivion Game of the Year Deluxe,,,,
,Morrowind Game of the Year,,,,
,Bendy and the Ink Machine,,,,
,Counter-Strike: Source,,,,
,Starwars Republic Commando,,,,
,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,,,,
,STAR WARS® X-Wing vs TIE Fighter + Balance of Power,,,,
,Saints Row 2 (ROW),,,,
21-Dec-19,"Currency Conversion to USD (United States, TX)",Conversion,,,$0.06 
,,Wallet,,,
17-Dec-19,Currency Conversion to EUR (Germany),Conversion,,,"0,05€"
,,Wallet,,,
3-Dec-19,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$0.06 
,,Wallet,Credit,,
24-Nov-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.02 
,,Wallet,Credit,,
24-Nov-19,Tower Unite,Purchase,$16.23 ,($1.23),$0.00 
,,$1.23 Wallet,,,
,,$15.00 MasterCard,,,
16-Nov-19,Steam Community Market,Market Transaction,$0.07 ,$0.07 ,$1.23 
,,Wallet,Credit,,
6-Nov-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.16 
,,Wallet,Credit,,
4-Nov-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.13 
,,Wallet,Credit,,
2-Nov-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.11 
,,Wallet,Credit,,
30-Oct-19,Steam Community Market,3 Market Transactions,$0.06 ,$0.06 ,$1.09 
,,Wallet,Credit,,
29-Oct-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.03 
,,Wallet,Credit,,
27-Oct-19,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$1.00 
,,Wallet,Credit,,
25-Oct-19,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.94 
,,Wallet,Credit,,
23-Oct-19,Steam Community Market,4 Market Transactions,$0.11 ,$0.11 ,$0.88 
,,Wallet,Credit,,
22-Oct-19,Steam Community Market,3 Market Transactions,$0.13 ,$0.13 ,$0.77 
,,Wallet,Credit,,
21-Oct-19,Steam Community Market,3 Market Transactions,$0.07 ,$0.07 ,$0.64 
,,Wallet,Credit,,
19-Oct-19,Steam Community Market,4 Market Transactions,$0.12 ,$0.12 ,$0.57 
,,Wallet,Credit,,
19-Oct-19,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.45 
,,Wallet,Credit,,
17-Oct-19,Steam Community Market,8 Market Transactions,$0.28 ,$0.28 ,$0.41 
,,Wallet,Credit,,
30-Aug-19,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.13 
,,Wallet,Credit,,
24-Aug-19,Steam Community Market,Market Transaction,$0.08 ,$0.08 ,$0.08 
,,Wallet,Credit,,
23-Aug-19,Dicey Dungeons,Purchase,$14.99 ,($0.06),$0.00 
,,$0.06 Wallet,,,
,,$14.93 MasterCard,,,
1-Aug-19,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.06 
,,Wallet,Credit,,
31-Jul-19,House Flipper,Purchase,$13.99 ,,
,,MasterCard **56,,,
30-Jul-19,Life is Strange Complete Season (Episodes 1-5),Purchase,$3.99 ,,
,,MasterCard **56,,,
30-Jul-19,Prey Digital Deluxe,Gift Purchase,$7.99 ,,
,Picture,MasterCard **56,,,
,Gift sent to Azurenix,,,,
30-Jul-19,Prey Digital Deluxe,Purchase,$7.99 ,($0.79),$0.00 
,,$0.79 Wallet,,,
,,$7.20 MasterCard,,,
18-Jul-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.79 
,,Wallet,Credit,,
9-Jul-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.76 
,,Wallet,Credit,,
27-Jun-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.74 
,,Wallet,Credit,,
24-Jun-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.71 
,,Wallet,Credit,,
7-Jun-19,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.68 
,,Wallet,Credit,,
1-Jun-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.64 
,,Wallet,Credit,,
30-May-19,Steam Community Market,Market Transaction,$0.08 ,$0.08 ,$0.62 
,,Wallet,Credit,,
25-May-19,Steam Community Market,2 Market Transactions,$0.10 ,$0.10 ,$0.54 
,,Wallet,Credit,,
16-May-19,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.44 
,,Wallet,Credit,,
14-May-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.40 
,,Wallet,Credit,,
12-May-19,Steam Community Market,2 Market Transactions,$0.10 ,$0.10 ,$0.37 
,,Wallet,Credit,,
4-May-19,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.27 
,,Wallet,Credit,,
1-May-19,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.21 
,,Wallet,Credit,,
28-Apr-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.16 
,,Wallet,Credit,,
18-Apr-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.14 
,,Wallet,Credit,,
16-Apr-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.12 
,,Wallet,Credit,,
13-Apr-19,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.09 
,,Wallet,Credit,,
8-Apr-19,The Witcher 2,Purchase,$2.99 ,($2.99),$0.04 
,,Wallet,,,
28-Mar-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$3.03 
,,Wallet,Credit,,
18-Mar-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$3.00 
,,Wallet,Credit,,
3-Mar-19,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$2.97 
,,Wallet,Credit,,
1-Mar-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$2.95 
,,Wallet,Credit,,
21-Feb-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$2.92 
,,Wallet,Credit,,
13-Feb-19,Steam Community Market,3 Market Transactions,$0.13 ,$0.13 ,$2.89 
,,Wallet,Credit,,
11-Feb-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$2.76 
,,Wallet,Credit,,
6-Feb-19,Steam Community Market,2 Market Transactions,$0.08 ,$0.08 ,$2.73 
,,Wallet,Credit,,
3-Feb-19,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$2.65 
,,Wallet,Credit,,
28-Jan-19,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$2.62 
,,Wallet,Credit,,
25-Jan-19,Steam Community Market,7 Market Transactions,$0.14 ,$0.14 ,$2.56 
,,Wallet,Credit,,
24-Jan-19,Steam Community Market,5 Market Transactions,$0.10 ,$0.10 ,$2.42 
,,Wallet,Credit,,
19-Jan-19,Steam Community Market,3 Market Transactions,$0.29 ,$0.29 ,$2.32 
,,Wallet,Credit,,
18-Jan-19,Steam Community Market,10 Market Transactions,$0.30 ,($0.30),$2.03 
,,Wallet,,,
17-Jan-19,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$2.33 
,,Wallet,Credit,,
16-Jan-19,Steam Community Market,9 Market Transactions,$0.42 ,$0.42 ,$2.27 
,,Wallet,Credit,,
15-Jan-19,American Truck Simulator,Purchase,$4.99 ,($4.99),$1.85 
,,Wallet,,,
5-Jan-19,Steam Community Market,Market Transaction,$0.07 ,$0.07 ,$6.84 
,,Wallet,Credit,,
3-Jan-19,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$6.77 
,,Wallet,Credit,,
3-Jan-19,Stardew Valley,Purchase,$11.24 ,($11.24),$6.72 
,,Wallet,,,
3-Jan-19,Europa Universalis IV: Dharma,Purchase,$23.38 ,($23.38),$17.96 
,Europa Universalis IV: Mandate of Heaven,Wallet,,,
3-Jan-19,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$41.34 
,,Retail,,,
3-Jan-19,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$21.34 
,,Retail,,,
28-Dec-18,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.34 
,,Wallet,Credit,,
27-Dec-18,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.31 
,,Wallet,Credit,,
24-Dec-18,Steam Community Market,2 Market Transactions,$0.04 ,$0.04 ,$1.28 
,,Wallet,Credit,,
20-Dec-18,Tom Clancy's Rainbow Six Siege,Purchase,$40.07 ,($40.07),$1.24 
,Europa Universalis IV: Cradle of Civilization,Wallet,,,
,Beyond Good and Evil,,,,
,Lords of Football,,,,
,Far Cry,,,,
,Far Cry 2,,,,
,Left 4 Dead,,,,
,Left 4 Dead 2,,,,
20-Dec-18,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$41.31 
,,Retail,,,
20-Dec-18,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$21.31 
,,Retail,,,
18-Dec-18,Steam Community Market,Market Transaction,$0.01 ,$0.01 ,$1.31 
,,Wallet,Credit,,
21-Nov-18,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.30 
,,Wallet,Credit,,
16-Nov-18,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.27 
,,Wallet,Credit,,
13-Nov-18,Steam Community Market,2 Market Transactions,$0.16 ,$0.16 ,$1.25 
,,Wallet,Credit,,
8-Nov-18,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$1.09 
,,Wallet,Credit,,
4-Nov-18,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$1.03 
,,Wallet,Credit,,
1-Nov-18,Steam Community Market,2 Market Transactions,$0.07 ,$0.07 ,$0.97 
,,Wallet,Credit,,
30-Oct-18,Steam Community Market,3 Market Transactions,$0.07 ,$0.07 ,$0.90 
,,Wallet,Credit,,
28-Oct-18,Steam Community Market,5 Market Transactions,$0.18 ,$0.18 ,$0.83 
,,Wallet,Credit,,
28-Oct-18,Steam Community Market,11 Market Transactions,$0.34 ,$0.34 ,$0.65 
,,Wallet,Credit,,
27-Jul-18,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.31 
,,Wallet,Credit,,
17-Jul-18,Grand Theft Auto V,Purchase,$19.79 ,($19.79),$0.21 
,,Wallet,,,
17-Jul-18,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$20.00 
,,Retail,,,
29-Jun-18,The Elder Scrolls Online: Plus 1 Month Membership,In-Game Purchase,$30.25 ,($0.40),$0.00 
,Just Cause,$0.40 Wallet,,,
,Just Cause 2,$29.85 MasterCard,,,
,Just Cause 2 DLC: Black Market Aerial Pack,,,,
,Just Cause 2 Black Market Boom Pack,,,,
,Just Cause 2 DLC - Bull's Eye Assault Rifle,,,,
,Just Cause 2 DLC - Rico's Signature Gun,,,,
,Just Cause 2 DLC - Chevalier Classic,,,,
,Just Cause 2 DLC - Agency Hovercraft,,,,
,Just Cause 2 DLC - Monster Truck,,,,
,Just Cause 3 - Combat Buggy,,,,
,Just Cause 3 - Mini-Gun Racing Boat,,,,
,Just Cause 3 - Rocket Launcher Sports Car,,,,
,Just Cause 3 - Final Argument Sniper Rifle,,,,
,Just Cause 3 - Capstone Bloodhound RPG,,,,
,"Just Cause 3: Air, Land & Sea Expansion Pass",,,,
,Just Cause 3,,,,
,Just Cause™ 3 DLC: Kousavá Rifle,,,,
,Just Cause™ 3 DLC: Reaper Missile Mech,,,,
,The Elder Scrolls® Online,,,,
,The Elder Scrolls Online: Plus 1 Month Membership,,,,
26-Jun-18,The Witcher: Enhanced Edition,Purchase,$2.28 ,($2.28),$0.40 
,Oh...Sir!! The Insult Simulator,Wallet,,,
26-Jun-18,Dungeon Defenders,Purchase,$3.74 ,($3.74),$2.68 
,,Wallet,,,
26-Jun-18,Purchased $5.00 Wallet Credit,Purchase,$5.00 ,$5.00 ,$6.42 
,,MasterCard **44,,,
14-May-18,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.42 
,,Wallet,Credit,,
6-May-18,STAR WARS™ Knights of the Old Republic™,Purchase,$19.16 ,($19.16),$1.40 
,"STAR WARS™ Battlefront II (Classic, 2005)",Wallet,,,
,Star Wars: Empire at War Gold,,,,
,Mount Your Friends 3D: A Hard Man is Good to Climb,,,,
6-May-18,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$20.56 
,,Retail,,,
5-May-18,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.56 
,,Wallet,Credit,,
14-Apr-18,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.53 
,,Wallet,Credit,,
9-Apr-18,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.47 
,,Wallet,Credit,,
17-Mar-18,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.44 
,,Wallet,Credit,,
28-Feb-18,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.39 
,,Wallet,Credit,,
18-Feb-18,Steam Community Market,3 Market Transactions,$0.11 ,$0.11 ,$0.29 
,,Wallet,Credit,,
18-Feb-18,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.18 
,,Wallet,Credit,,
15-Feb-18,Hand Simulator,Gift Purchase,$0.99 ,($0.99),$0.16 
,Picture,Wallet,,,
,Gift sent to The Gaming Nugget,,,,
15-Feb-18,Hand Simulator,Purchase,$0.99 ,($0.99),$1.15 
,,Wallet,,,
15-Feb-18,Hand Simulator,Gift Purchase,$0.99 ,($0.99),$2.14 
,Picture,Wallet,,,
,Gift sent to thetryer,,,,
14-Feb-18,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$3.13 
,,Wallet,Credit,,
11-Feb-18,Blood and Bacon,Purchase,$0.79 ,($0.79),$3.11 
,,Wallet,,,
21-Jan-18,Steam Community Market,2 Market Transactions,$0.11 ,$0.11 ,$3.90 
,,Wallet,Credit,,
20-Jan-18,Stick Fight: The Game,Purchase,$4.99 ,($4.99),$3.79 
,,Wallet,,,
19-Jan-18,Steam Community Market,7 Market Transactions,$0.38 ,$0.38 ,$8.78 
,,Wallet,Credit,,
18-Jan-18,Steam Community Market,35 Market Transactions,$1.74 ,$1.74 ,$8.40 
,,Wallet,Credit,,
14-Jan-18,Human Fall Flat,Purchase,$14.99 ,($14.99),$6.66 
,,Wallet,,,
13-Jan-18,Kingdoms and Castles,Purchase,$7.49 ,($7.49),$21.65 
,,Wallet,,,
13-Jan-18,Purchased $25.00 Wallet Credit,Purchase,$25.00 ,$25.00 ,$29.14 
,,Visa **31,,,
21-Dec-17,Forts,Purchase,$40.87 ,($40.87),$4.14 
,Stellaris,Wallet,,,
,Colony Survival,,,,
21-Dec-17,Purchased $25.00 Wallet Credit,Purchase,$25.00 ,$25.00 ,$45.01 
,,Visa **89,,,
21-Dec-17,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$20.01 
,,Retail,,,
20-Nov-17,Steam Community Market,Market Transaction,$0.01 ,$0.01 ,$0.01 
,,Wallet,Credit,,
9-Jul-17,Middle-earth: Shadow of Mordor Game of the Year Edition,Purchase,$4.00 ,,
,,Visa **02,,,
24-Jun-17,Crusader Kings II,Purchase,$29.98 ,($0.78),$0.00 
,Hearts of Iron IV (OLD - DO NOT USE),$0.78 Wallet,,,
,,$29.20 Visa,,,
7-Jun-17,Steam Community Market,2 Market Transactions,$0.10 ,$0.10 ,$0.78 
,,Wallet,Credit,,
6-Jun-17,Steam Community Market,5 Market Transactions,$0.24 ,$0.24 ,$0.68 
,,Wallet,Credit,,
28-Jan-17,Steam Community Market,Market Transaction,$0.28 ,$0.28 ,$0.44 
,,Wallet,Credit,,
8-Jan-17,Steam Community Market,2 Market Transactions,$0.16 ,$0.16 ,$0.16 
,,Wallet,Credit,,
25-Dec-16,Europa Universalis IV: Res Publica,Purchase,$63.82 ,($0.12),$0.00 
,Osiris: New Dawn,$0.12 Wallet,,,
,Europa Universalis IV: Wealth of Nations,$63.70 Visa,,,
,Europa Universalis IV: The Cossacks,,,,
,Europa Universalis IV: Rights of Man,,,,
,Europa Universalis IV: Conquest of Paradise,,,,
,Europa Universalis IV: Common Sense,,,,
,Europa Universalis IV: Art of War,,,,
22-Dec-16,Ultimate Chicken Horse,Purchase,$19.88 ,($19.88),$0.12 
,7 Days to Die,Wallet,,,
18-Dec-16,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$20.00 
,,Retail,,,
25-Nov-16,Besiege,Purchase,$23.17 ,($2.67),$0.00 
,Europa Universalis IV: El Dorado,$2.67 Wallet,,,
,Infinifactory,$20.50 Visa,,,
20-Nov-16,The Elder Scrolls® Online: Tamriel Unlimited,Purchase,$9.90 ,,
,,Visa **31,,,
16-Nov-16,Steam Community Market,9 Market Transactions,$0.75 ,$0.75 ,$2.67 
,,Wallet,Credit,,
9-Nov-16,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$1.92 
,,Wallet,Credit,,
5-Nov-16,Steam Community Market,Market Transaction,$0.14 ,$0.14 ,$1.87 
,,Wallet,Credit,,
25-Oct-16,Steam Community Market,2 Market Transactions,$28.39 ,($28.39),$1.73 
,,Wallet,,,
24-Oct-16,Fallout 4,Refund,$29.99 ,$29.99 ,$30.12 
,Refund,Wallet Credit,,,
22-Oct-16,Fallout 4,Gift Purchase,$29.99 ,,
,Stored in gift inventory,Visa **02,,,
15-Oct-16,Steam Community Market,Market Transaction,$0.13 ,$0.13 ,$0.13 
,,Wallet,Credit,,
3-Sep-16,Europa Universalis IV: Mare Nostrum,Purchase,$20.03 ,,
,Europa Universalis IV,Visa **65,,,
25-Jul-16,Duck Game,Gift Purchase,$12.99 ,,
,Picture,PayPal,,,
,Gift sent to thetryer,,,,
12-Jul-16,Factorio,Purchase,$20.00 ,($1.87),$0.00 
,,$1.87 Wallet,,,
,,$18.13 PayPal,,,
26-Jun-16,Rocket League&amp;reg;,Purchase,$11.99 ,($11.99),$1.87 
,,Wallet,,,
26-Jun-16,Civ V Korea DLC,Purchase,$6.58 ,($6.58),$13.86 
,Civ V Wonders of the Ancient DLC,Wallet,,,
,Civ V Gods and Kings Expansion,,,,
,Sid Meier's Civilization V: Brave New World,,,,
,Changing Worlds Map Pack: Continents,,,,
,Sid Meier's Civilization V: Scrambled Nations Map Pack,,,,
26-Jun-16,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$20.44 
,,Retail,,,
20-May-16,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.44 
,,Wallet,Credit,,
29-Mar-16,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$0.41 
,,Wallet,Credit,,
17-Mar-16,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.35 
,,Wallet,Credit,,
15-Mar-16,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.30 
,,Wallet,Credit,,
9-Mar-16,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.20 
,,Wallet,Credit,,
5-Mar-16,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.10 
,,Wallet,Credit,,
6-Feb-16,Life is Strange Episode 1,Purchase,$2.49 ,,
,,Visa **69,,,
6-Feb-16,Blockstorm,Purchase,$1.39 ,($0.57),$0.00 
,,$0.57 Wallet,,,
,,$0.82 Visa,,,
10-Jan-16,Steam Community Market,2 Market Transactions,$0.10 ,$0.10 ,$0.57 
,,Wallet,Credit,,
9-Jan-16,Steam Community Market,2 Market Transactions,$0.10 ,$0.10 ,$0.47 
,,Wallet,Credit,,
1-Jan-16,Steam Community Market,3 Market Transactions,$0.15 ,$0.15 ,$0.37 
,,Wallet,Credit,,
31-Dec-15,Steam Community Market,4 Market Transactions,$0.22 ,$0.22 ,$0.22 
,,Wallet,Credit,,
31-Dec-15,Terraria,Purchase,$3.39 ,($2.15),$0.00 
,,$2.15 Wallet,,,
,,$1.24 Visa,,,
30-Dec-15,Steam Community Market,2 Market Transactions,$0.11 ,$0.11 ,$2.15 
,,Wallet,Credit,,
28-Dec-15,Steam Community Market,3 Market Transactions,$0.16 ,$0.16 ,$2.04 
,,Wallet,Credit,,
27-Dec-15,Steam Community Market,2 Market Transactions,$0.12 ,$0.12 ,$1.88 
,,Wallet,Credit,,
26-Dec-15,Steam Community Market,5 Market Transactions,$0.34 ,$0.34 ,$1.76 
,,Wallet,Credit,,
26-Dec-15,Duck Game,Purchase,$9.74 ,($9.74),$1.42 
,,Wallet,,,
26-Dec-15,Steam Community Market,Market Transaction,$0.06 ,$0.06 ,$11.16 
,,Wallet,Credit,,
